abc,means,variances
863,16546.91701466667,290773894.85324407
864,940.072055,1244569.0182807834
865,177.94969291666666,7663.874041601096
866,541.0365883333333,153269.55016173664
867,1477.0433499999992,664862.1680016624
869,365.99122000000006,82845.73045359069
870,1252.8904482083335,2282566.7228910257
871,327.15922916666665,66236.50113266792
872,858.8354516666667,962741.9258858335
876,355.62348333333324,76505.21065289549
882,848.7342375,909669.2224456264
889,3654.1926004166667,19943960.0780661
890,1697.2315916666664,3535642.9504878297
895,379.59235791666674,75423.95031764648
896,311.1179904166667,75409.83914896521
901,1867.8213791666667,957773.8075623525
903,800.0496792083335,1185366.0662111032
905,1381.4715875,1580267.5978479618
907,1574.1912320833335,3711707.711515337
911,261.4330512499999,420265.1107111151
912,229.54604500000002,119921.79649464051
913,953.185324583333,1723697.96915993
916,2356.9974047083333,7301719.03938174
917,865.3710708333334,682211.0548084496
922,221.06673124999995,34912.12724617868
925,424.4740291666667,100108.79707539373
928,583.1354962499998,401814.15231320664
929,1814.5324554583337,5864406.801567
930,809.8794166666665,315977.9549217506
931,222.17894083333331,13695.952246684164
934,2482.2577333333325,11583016.161596814
935,141.8784976666667,57221.80175896111
936,159.93266749999998,5188.571525243577
937,223.35673124999997,13923.275610388293
939,1971.3823499999999,1959136.9842350616
940,939.2383958333331,762342.2271420603
946,535.2920179166667,497752.9106955181
950,252.63887833333334,45891.89914004662
951,1166.2802008333335,1939352.221345963
958,210.0735204166667,92629.21994236571
960,1221.097601666667,3696497.3240263523
961,138.88625120833336,31703.461090077006
962,2124.4219583333334,3599122.8418524903
964,490.71322041666684,1100644.6960526363
967,347.29067416666675,102103.90539071996
968,1554.2116183333335,3589149.114191681
969,4800.8055416666675,12560586.648425832
970,115.99540166666668,11217.432682471153
977,1697.2507145833335,2198244.4394703223
978,137.63820541666664,14757.418254554634
979,569.1609333333334,1366574.7909402538
981,1379.9278492499998,4142130.767650694
997,269.3152725,55356.99615367196
1000,1869.1252291666667,2691910.6568722506
1001,472.2932416666667,126304.37836012909
1003,137.21936916666667,18491.142543867452
1007,260.44158975,170348.77184760853
1015,299.8284045833332,32877.869382482066
1016,839.3055266666667,1461215.1276303641
1017,461.36837375,300163.278073371
1020,609.9102529166668,928283.1923299249
1021,2463.2658166666665,8529121.993842088
1022,686.1847549999999,920466.1672206934
1035,782.8789557083336,1269182.282478459
1036,678.4722870833334,218920.1053033412
1038,129.62731000000005,30097.736002965863
1039,468.19889874999984,376133.33262206445
1041,2214.1611291666663,1959042.349009199
1042,4991.480310170834,26877885.237074446
1044,514.0836025000001,1293266.1142478602
1047,277.44693166666667,63433.09574274856
1052,562.8273333333334,94192.45054340556
1053,335.87511875,545793.2855421546
1054,156.75883375,18687.424202708196
1055,1437.2182395833333,5922407.627605145
1060,962.6028129166666,717832.2064866585
1061,225.02662995833336,40827.441737023044
1062,463.9059704166668,2409557.471455783
1064,1624.7848000000001,2265507.225095346
1071,1570.9302245833335,3385947.9698245465
1076,483.2400493749999,825912.0922100242
1080,2119.811141666667,7269272.150249262
1091,6058.728822499998,48120440.4543832
1099,2562.4732008333326,10895337.100527069
1100,1170.217865375,2174787.6675766897
1103,609.2333541666668,257349.89882917
1107,579.1356499999999,154172.08889809583
1110,2619.8017041666662,6695745.997910867
1111,481.7648308333334,119132.2717479437
1114,630.1998920833333,447803.24550500256
1115,5063.745441666667,28296068.345991656
1117,757.5521270833333,1027853.9404898664
1118,8819.931150000002,83269594.840115
1119,6815.832450000001,73205976.3001133
1120,3635.4199833333337,14960554.77202245
1123,12218.430554166669,165215440.93238878
1124,1791.810750916666,3755180.1538984454
1125,336.6164883333334,452624.5853651252
1130,225.90329791666667,149037.84024998566
1132,1134.81928125,2099120.3644090234
1133,576.8012729166666,983329.6983511351
1134,3244.2825166666667,19746072.957902517
1136,2801.538752499999,12498533.772661177
1137,1881.820170833333,4487267.626058127
1144,2043.402090833333,6167116.0690783635
